"","Class","HP","Str","Mag","Skill","Spd","Luck","Def","Res"
"1","Thief","40","20","15","20","20","40","20","20"
"2","Lord","60","26","20","27","28","40","24","22"
"3","Swordmaster (M)","60","24","20","29","30","40","24","22"
"4","Swordmaster (F)","60","22","20","29","30","40","22","25"
"5","Halberdier","60","25","20","28","26","40","28","25"
"6","Warrior","60","30","20","28","27","40","25","20"
"7","Sniper","60","25","20","30","28","40","25","23"
"8","General","60","29","20","27","24","40","30","25"
"9","General (Black Knight)","70","30","20","30","35","40","30","30"
"10","Horse Knight (F)","40","20","15","20","20","40","20","15"
"11","Paladin (M)","60","26","20","26","27","40","27","25"
"12","Paladin (F)","60","25","20","26","27","40","27","26"
"13","Falcon Knight","60","23","20","26","28","40","24","27"
"14","Princess Crimea","60","20","25","26","28","40","24","27"
"15","Wyvern Lord (M)","60","29","20","28","26","40","29","22"
"16","Wyvern Lord (F)","60","27","20","26","27","40","27","25"
"17","King Daein","80","40","40","40","40","40","40","40"
"18","Mage","40","10","20","20","20","40","10","20"
"19","Sage","60","15","30","28","28","40","20","28"
"20","Priest / Cleric","40","15","20","20","20","40","20","20"
"21","Bishop","60","15","29","22","25","40","20","30"
"22","Valkyrie","60","20","26","24","26","40","20","29"
"23","Assassin (M)","60","23","20","30","30","40","22","20"
"25","Berserker","60","30","20","24","28","40","26","20"
"26","Beast tribe (Lion)","80","32","20","35","33","40","35","27"
"27","Beast tribe (Tiger)","75","30","20","33","34","40","30","24"
"28","Beast tribe (Cat M)","70","29","20","34","35","40","30","24"
"29","Beast tribe (Cat F)","70","26","20","34","36","40","27","27"
"30","Lion","80","40","20","39","36","40","40","30"
"31","Tiger","75","37","20","37","37","40","35","27"
"32","Cat (M)","70","35","20","38","38","40","35","27"
"33","Cat (F)","70","32","20","38","39","40","32","30"
"35","Dragon tribe (White)","80","30","25","30","32","40","35","35"
"36","Dragon tribe (Red M)","80","35","20","31","32","40","36","30"
"37","Dragon tribe (Red F)","75","35","20","31","31","40","36","30"
"39","White Dragon","80","40","25","36","35","40","40","40"
"40","Red Dragon (M)","80","45","20","35","35","40","40","35"
"41","Red Dragon (F)","75","40","20","35","35","40","40","35"
"42","Bird tribe (Hawk)","65","26","20","35","36","40","26","26"
"43","Bird tribe (Tibarn)","75","33","20","35","36","40","32","29"
"44","Bird tribe (Raven)","65","25","20","31","34","40","25","31"
"45","Bird tribe (Naesala)","70","29","24","34","37","40","27","32"
"47","Bird tribe (Heron M)","60","10","20","17","26","40","15","35"
"48","Bird tribe (Heron F)","60","10","20","17","25","40","15","35"
"49","Hawk","65","32","20","40","39","40","30","30"
"50","Hawk (Tibarn)","75","40","20","40","39","40","35","30"
"51","Raven","65","30","21","35","38","40","28","35"
"52","Raven (Naesala)","70","35","25","38","40","40","30","35"
"54","Heron (White)","60","10","25","20","30","40","16","40"
"55","Civilian / Child","60","20","20","20","20","40","20","20"
